Tool,Well,Elapsed Time (h:mm:ss),User Time (s),% CPU,Max Resident Set Size (KB),Output Size (bytes)
BarCounter,NON-1-HT5,00:02:24.43,140.25,99,2791616,504739
BarCounter,Pool-16,00:02:21.07,130.83,94,2243928,519209
BarCounter,Pool-24,00:04:08.96,219.23,90,3275468,792055
BarCounter,Pool-32,00:04:58.62,268.62,92,4003944,1040040
BarCounter,Pool-48,00:07:17.98,399.35,93,5248360,1536400
BarCounter,Pool-64,00:13:31.69,671.01,84,7262948,1934951
BarCounter,Pool-80,00:13:51.69,668.42,82,7942084,2185741
CITE-seq_Count (UMI correction),NON-1-HT5,00:28:55.88,5469.76,319,5423956,332670
CITE-seq_Count (UMI correction),Pool-16,00:21:56.86,4827.32,371,5049708,565647
CITE-seq_Count (UMI correction),Pool-24,00:39:57.53,7917.70,334,7551016,855936
CITE-seq_Count (UMI correction),Pool-32,00:50:12.70,10124.34,340,9164828,1112062
CITE-seq_Count (UMI correction),Pool-48,01:34:12.00,15202.55,272,13028208,1616148
CITE-seq_Count (UMI correction),Pool-64,03:06:16.00,25239.35,228,20597916,2029792
CITE-seq_Count (UMI correction),Pool-80,03:52:45.00,27960.06,202,23189708,2291529
CITE-seq_Count NO Correction,NON-1-HT5,00:15:14.42,4634.21,515,5424320,332956
CITE-seq_Count NO Correction,Pool-16,00:14:07.75,4537.74,543,5049800,570828
CITE-seq_Count NO Correction,Pool-24,00:22:38.00,6836.27,511,7550392,863999
CITE-seq_Count NO Correction,Pool-32,00:28:58.75,8570.76,500,9165792,1121687
CITE-seq_Count NO Correction,Pool-48,00:44:44.71,11890.54,449,13031484,1631077
CITE-seq_Count NO Correction,Pool-64,01:14:16.00,18567.20,423,20787080,2045571
CITE-seq_Count NO Correction,Pool-80,01:25:42.00,19421.77,383,23189344,2308708
Cellranger Count,NON-1-HT5,00:24:10.36,4796.11,354,15126288,3538599715
Cellranger Count,Pool-16,00:20:05.22,4566.43,397,15635288,3478874089
Cellranger Count,Pool-24,00:27:26.68,7104.61,454,14923884,5473859202
Cellranger Count,Pool-32,00:35:43.76,8500.68,418,15815144,6597787079
Cellranger Count,Pool-48,00:43:05.68,12189.33,493,15604032,9383702229
Cellranger Count,Pool-64,01:00:14.00,18506.50,536,16867708,13999272307
Cellranger Count,Pool-80,01:00:00.00,18942.65,551,15832260,13970611044
KITE (no threading),NON-1-HT5,00:09:09.92,499.44,93,9397628,3102177441
KITE (no threading),Pool-16,00:08:08.41,474.01,99,9397464,2785513840
KITE (no threading),Pool-24,00:12:15.02,666.14,93,9397604,4480392710
KITE (no threading),Pool-32,00:14:10.54,774.42,93,9397544,5623917278
KITE (no threading),Pool-48,00:18:57.60,1043.98,94,9397600,8212188000
KITE (no threading),Pool-64,00:26:36.03,1475.34,94,9397544,12931988136
KITE (no threading),Pool-80,00:27:34.00,1512.40,94,9397584,13574253455
KITE (8 threads),NON-1-HT5,00:05:14.85,503.81,165,9397604,3102177454
KITE (8 threads),Pool-16,00:05:01.93,487.84,166,9397612,2785513853
KITE (8 threads),Pool-24,00:06:10.71,669.89,185,9397692,4480392723
KITE (8 threads),Pool-32,00:06:58.53,789.74,193,9397580,5623917291
KITE (8 threads),Pool-48,00:08:37.60,1056.82,209,9397632,8212188013
KITE (8 threads),Pool-64,00:12:38.51,1566.00,212,9397460,12931988149
KITE (8 threads),Pool-80,00:11:48.32,1519.12,220,9397696,13574253468
